index,word,frequency
108357,im,90779
108356,dont,53661
108355,love,38404
108354,aint,31882
108353,yeah,27673
108352,back,25732
108351,time,23347
108350,baby,23163
108349,make,22112
108348,youre,20547
108347,nigga,20138
108346,wanna,19542
108345,man,19500
108344,shit,17600
108343,girl,16611
108342,ya,16524
108341,ill,16494
108340,gonna,15129
108339,life,14198
108338,good,13383
108337,niggas,12983
108336,fuck,12756
108335,feel,12519
108334,give,12176
108333,yo,12167
108332,night,12074
108331,em,11905
108330,day,11436
108329,ive,11351
108328,vape,11010
108327,put,10958
108326,gotta,10903
108325,heart,10249
108324,money,9953
108323,world,9097
108322,wont,8921
108321,real,8728
108320,long,8576
108319,call,8266
108318,home,7987
108317,mind,7940
108316,hey,7701
108315,big,7657
108314,yall,7582
108313,ass,7577
108312,hit,7446
108311,hard,7186
108310,stop,7169
108309,lets,7009
108308,thing,7004
108307,hold,6996
108306,boy,6976
108305,find,6894
108304,eyes,6845
108303,things,6702
108302,shes,6676
108301,head,6627
108300,run,6510
108299,bout,6436
108298,leave,6408
108297,made,6407
108296,stay,6369
108295,hear,6326
108294,show,6320
108293,live,6313
108292,turn,6273
108291,high,6099
108290,play,6019
108289,black,5891
108288,id,5888
108287,-,5791
108286,people,5695
108285,wit,5683
108284,left,5604
108283,bad,5535
108282,gon,5513
108281,face,5469
108280,god,5431
108279,ride,5399
108278,niggaz,5317
108277,whats,5293
108276,game,5276
108275,tonight,5221
108274,watch,5041
108273,talk,5031
108272,rock,4970
108271,light,4859
108270,uh,4806
108269,walk,4742
108268,didnt,4706
108267,mine,4609
108266,hand,4601
108265,thought,4581
108264,told,4565
108263,wrong,4558
108262,roll,4546
108261,break,4487
108260,fall,4477
108259,place,4456
108258,work,4446
108257,damn,4442
108256,crazy,4427
108255,youll,4384
108254,bring,4375
108253,side,4356
108252,gettin,4347
108251,hell,4340
108250,start,4338
108249,da,4254
108248,move,4253
108247,verse,4245
108246,bitches,4226
108245,die,4226
108244,young,4201
108243,girls,4162
108242,hes,4113
108241,dem,4070
108240,song,4064
108239,change,4061
108238,hot,4050
108237,la,4015
108236,hands,3968
108235,days,3923
108234,ooh,3923
108233,town,3889
108232,till,3856
108231,lost,3852
108230,na,3850
108229,ready,3833
108228,youve,3803
108227,beat,3787
108226,dance,3746
108225,sun,3721
108224,top,3698
108223,house,3678
108222,sweet,3655
108221,TRUE,3645
108220,end,3642
108219,cuz,3639
108218,fuckin,3626
108217,ima,3615
108216,fire,3611
108215,check,3601
108214,body,3593
108213,til,3573
108212,fly,3552
108211,free,3540
108210,inside,3538
108209,cold,3516
108208,heard,3499
108207,coming,3475
108206,goin,3461
108205,feeling,3445
108204,soul,3443
108203,road,3401
108202,round,3392
108201,wait,3369
